Time;PID1-Setpoint_Yset;PID2-Setpoint_Yset;Process-Disturbance_D;minSelect-SelectorOut;Process-Output_Y_sim;PID1-PID_U;PID2-PID_U
2021-01-01 00:00:00;50;70;0;50;50;50;51
2021-01-01 00:00:01;50;70;0.62668;50;50.628;50;51
2021-01-01 00:00:02;50;70;1.2434;49.685;51.216;49.685;51
2021-01-01 00:00:03;50;70;1.8406;49.39;51.759;49.39;50.685
2021-01-01 00:00:04;50;70;2.4089;49.113;52.254;49.113;50.39
2021-01-01 00:00:05;50;70;2.9389;48.861;52.94;48.861;50.113
2021-01-01 00:00:06;50;70;3.4227;48.514;53.424;48.514;49.861
2021-01-01 00:00:07;50;70;3.8527;48.264;53.825;48.264;49.514
2021-01-01 00:00:08;50;70;4.2216;48.057;54.14;48.057;49.264
2021-01-01 00:00:09;50;70;4.5241;47.891;54.369;47.891;49.057
2021-01-01 00:00:10;50;70;4.7554;47.766;54.511;47.766;48.891
2021-01-01 00:00:11;50;70;4.9114;47.686;54.554;47.686;48.766
2021-01-01 00:00:12;50;70;4.9901;47.657;54.509;47.657;48.686
2021-01-01 00:00:13;50;70;4.9901;47.671;54.376;47.671;48.657
2021-01-01 00:00:14;50;70;4.9114;47.729;54.16;47.729;48.671
2021-01-01 00:00:15;50;70;4.7554;47.828;53.869;47.828;48.729
2021-01-01 00:00:16;50;70;4.5241;47.964;53.508;47.964;48.828
2021-01-01 00:00:17;50;70;4.2216;48.139;53.085;48.139;48.964
2021-01-01 00:00:18;50;70;3.8527;48.343;52.607;48.343;49.139
2021-01-01 00:00:19;50;70;3.4227;48.578;52.084;48.578;49.343
2021-01-01 00:00:20;50;70;2.9389;48.834;51.526;48.834;49.578
2021-01-01 00:00:21;50;70;2.4089;49.111;50.939;49.111;49.834
2021-01-01 00:00:22;50;70;1.8406;49.404;50.334;49.404;50.111
2021-01-01 00:00:23;50;70;1.2434;49.705;49.723;49.705;50.404
2021-01-01 00:00:24;50;70;0.62668;50.011;49.115;50.011;50.705
2021-01-01 00:00:25;50;70;6.123E-16;50.315;48.52;50.315;51.011
2021-01-01 00:00:26;50;70;-0.62666;50.616;47.947;50.616;51.315
2021-01-01 00:00:27;50;70;-1.2434;50.908;47.407;50.908;51.616
2021-01-01 00:00:28;50;70;-1.8406;51.184;46.904;51.184;51.908
2021-01-01 00:00:29;50;70;-2.4087;51.439;46.451;51.439;52.184
2021-01-01 00:00:30;50;70;-2.9389;51.673;46.053;51.673;52.439
2021-01-01 00:00:31;50;70;-3.4227;51.881;45.717;51.881;52.673
2021-01-01 00:00:32;50;70;-3.8525;52.058;45.449;52.058;52.881
2021-01-01 00:00:33;50;70;-4.2216;52.2;45.251;52.2;53.058
2021-01-01 00:00:34;50;70;-4.5241;52.31;45.126;52.31;53.2
2021-01-01 00:00:35;50;70;-4.7552;52.38;45.079;52.38;53.31
2021-01-01 00:00:36;50;70;-4.9114;52.415;45.11;52.415;53.38
2021-01-01 00:00:37;50;70;-4.9901;52.41;45.215;52.41;53.415
2021-01-01 00:00:38;50;70;-4.9901;52.365;45.398;52.365;53.41
2021-01-01 00:00:39;50;70;-4.9114;52.285;45.65;52.285;53.365
2021-01-01 00:00:40;50;70;-4.7552;52.167;45.973;52.167;53.285
2021-01-01 00:00:41;50;70;-4.5241;52.014;46.356;52.014;53.167
2021-01-01 00:00:42;50;70;-4.2216;51.829;46.799;51.829;53.014
2021-01-01 00:00:43;50;70;-3.8525;51.615;47.29;51.615;52.829
2021-01-01 00:00:44;50;70;-3.4227;51.373;47.824;51.373;52.615
2021-01-01 00:00:45;50;70;-2.9389;51.112;48.39;51.112;52.373
2021-01-01 00:00:46;50;70;-2.4087;50.83;48.982;50.83;52.112
2021-01-01 00:00:47;50;70;-1.8406;50.536;49.59;50.536;51.83
2021-01-01 00:00:48;50;70;-1.2434;50.233;50.204;50.233;51.536
2021-01-01 00:00:49;50;70;-0.62666;49.927;50.814;49.927;51.233
2021-01-01 00:00:50;50;70;-1.2246E-15;49.619;51.412;49.619;50.927
2021-01-01 00:00:51;50;70;0.62668;49.319;51.986;49.319;50.619
2021-01-01 00:00:52;50;70;1.2434;49.027;52.528;49.027;50.319
2021-01-01 00:00:53;50;70;1.8406;48.752;53.028;48.752;50.027
2021-01-01 00:00:54;50;70;2.4089;48.494;53.483;48.494;49.752
2021-01-01 00:00:55;50;70;2.9389;48.26;53.881;48.26;49.494
2021-01-01 00:00:56;50;70;3.4227;48.055;54.216;48.055;49.26
2021-01-01 00:00:57;50;70;3.8527;47.877;54.485;47.877;49.055
2021-01-01 00:00:58;50;70;4.2216;47.733;54.683;47.733;48.877
2021-01-01 00:00:59;50;70;4.5241;47.625;54.808;47.625;48.733
2021-01-01 00:01:00;50;70;4.7554;47.555;54.854;47.555;48.625
2021-01-01 00:01:01;50;70;4.9114;47.52;54.824;47.52;48.555
2021-01-01 00:01:02;50;70;4.9901;47.527;54.718;47.527;48.52
2021-01-01 00:01:03;50;70;4.9901;47.569;54.538;47.569;48.527
2021-01-01 00:01:04;50;70;4.9114;47.652;54.283;47.652;48.569
2021-01-01 00:01:05;50;70;4.7554;47.769;53.963;47.769;48.652
2021-01-01 00:01:06;50;70;4.5241;47.923;53.577;47.923;48.769
2021-01-01 00:01:07;50;70;4.2216;48.108;53.136;48.108;48.923
2021-01-01 00:01:08;50;70;3.8527;48.321;52.646;48.321;49.108
2021-01-01 00:01:09;50;70;3.4227;48.563;52.111;48.563;49.321
2021-01-01 00:01:10;50;70;2.9389;48.824;51.545;48.824;49.563
2021-01-01 00:01:11;50;70;2.4089;49.106;50.951;49.106;49.824
2021-01-01 00:01:12;50;70;1.8406;49.399;50.345;49.399;50.106
2021-01-01 00:01:13;50;70;1.2434;49.702;49.73;49.702;50.399
2021-01-01 00:01:14;50;70;0.62668;50.011;49.12;50.011;50.702
2021-01-01 00:01:15;50;70;1.8369E-15;50.316;48.523;50.316;51.011
2021-01-01 00:01:16;50;70;-0.62666;50.619;47.951;50.619;51.316
2021-01-01 00:01:17;50;70;-1.2434;50.91;47.409;50.91;51.619
2021-01-01 00:01:18;50;70;-1.8406;51.186;46.906;51.186;51.91
2021-01-01 00:01:19;50;70;-2.4087;51.443;46.454;51.443;52.186
2021-01-01 00:01:20;50;70;-2.9389;51.677;46.056;51.677;52.443
2021-01-01 00:01:21;50;70;-3.4227;51.882;45.72;51.882;52.677
2021-01-01 00:01:22;50;70;-3.8525;52.059;45.449;52.059;52.882
2021-01-01 00:01:23;50;70;-4.2216;52.204;45.253;52.204;53.059
2021-01-01 00:01:24;50;70;-4.5241;52.311;45.128;52.311;53.204
2021-01-01 00:01:25;50;70;-4.7552;52.384;45.082;52.384;53.311
2021-01-01 00:01:26;50;70;-4.9114;52.416;45.112;52.416;53.384
2021-01-01 00:01:27;50;70;-4.9901;52.411;45.217;52.411;53.416
2021-01-01 00:01:28;50;70;-4.9901;52.367;45.4;52.367;53.411
2021-01-01 00:01:29;50;70;-4.9114;52.287;45.652;52.287;53.367
2021-01-01 00:01:30;50;70;-4.7552;52.169;45.975;52.169;53.287
2021-01-01 00:01:31;50;70;-4.5241;52.015;46.358;52.015;53.169
2021-01-01 00:01:32;50;70;-4.2216;51.83;46.801;51.83;53.015
2021-01-01 00:01:33;50;70;-3.8525;51.617;47.291;51.617;52.83
2021-01-01 00:01:34;50;70;-3.4227;51.375;47.826;51.375;52.617
2021-01-01 00:01:35;50;70;-2.9389;51.114;48.392;51.114;52.375
2021-01-01 00:01:36;50;70;-2.4087;50.832;48.986;50.832;52.114
2021-01-01 00:01:37;50;70;-1.8406;50.538;49.592;50.538;51.832
2021-01-01 00:01:38;50;70;-1.2434;50.235;50.206;50.235;51.538
2021-01-01 00:01:39;50;70;-0.62666;49.929;50.816;49.929;51.235
2021-01-01 00:01:40;50;70;-2.4492E-15;49.621;51.414;49.621;50.929
2021-01-01 00:01:41;50;70;0.62668;49.32;51.988;49.32;50.621
2021-01-01 00:01:42;50;70;1.2434;49.029;52.53;49.029;50.32
2021-01-01 00:01:43;50;70;1.8406;48.753;53.032;48.753;50.029
2021-01-01 00:01:44;50;70;2.4089;48.496;53.485;48.496;49.753
2021-01-01 00:01:45;50;70;2.9389;48.262;53.883;48.262;49.496
2021-01-01 00:01:46;50;70;3.4227;48.057;54.218;48.057;49.262
2021-01-01 00:01:47;50;70;3.8527;47.879;54.487;47.879;49.057
2021-01-01 00:01:48;50;70;4.2216;47.737;54.685;47.737;48.879
2021-01-01 00:01:49;50;70;4.5241;47.627;54.809;47.627;48.737
2021-01-01 00:01:50;50;70;4.7554;47.557;54.856;47.557;48.627
2021-01-01 00:01:51;50;70;4.9114;47.522;54.828;47.522;48.557
2021-01-01 00:01:52;50;70;4.9901;47.529;54.72;47.529;48.522
2021-01-01 00:01:53;50;70;4.9901;47.571;54.54;47.571;48.529
2021-01-01 00:01:54;50;70;4.9114;47.654;54.285;47.654;48.571
2021-01-01 00:01:55;50;70;4.7554;47.771;53.964;47.771;48.654
2021-01-01 00:01:56;50;70;4.5241;47.925;53.581;47.925;48.771
2021-01-01 00:01:57;50;70;4.2216;48.11;53.138;48.11;48.925
2021-01-01 00:01:58;50;70;3.8527;48.323;52.648;48.323;49.11
2021-01-01 00:01:59;50;70;3.4227;48.565;52.113;48.565;49.323
2021-01-01 00:02:00;50;70;2.9389;48.826;51.547;48.826;49.565
2021-01-01 00:02:01;50;70;2.4089;49.108;50.955;49.108;49.826
2021-01-01 00:02:02;50;70;1.8406;49.401;50.347;49.401;50.108
2021-01-01 00:02:03;50;70;1.2434;49.704;49.732;49.704;50.401
2021-01-01 00:02:04;50;70;0.62668;50.013;49.122;50.013;50.704
2021-01-01 00:02:05;50;70;3.0615E-15;50.318;48.527;50.318;51.013
2021-01-01 00:02:06;50;70;-0.62666;50.621;47.953;50.621;51.318
2021-01-01 00:02:07;50;70;-1.2434;50.912;47.411;50.912;51.621
2021-01-01 00:02:08;50;70;-1.8406;51.188;46.908;51.188;51.912
2021-01-01 00:02:09;50;70;-2.4087;51.445;46.456;51.445;52.188
2021-01-01 00:02:10;50;70;-2.9389;51.679;46.058;51.679;52.445
2021-01-01 00:02:11;50;70;-3.4227;51.884;45.722;51.884;52.679
2021-01-01 00:02:12;50;70;-3.8525;52.061;45.453;52.061;52.884
2021-01-01 00:02:13;50;70;-4.2216;52.206;45.255;52.206;53.061
2021-01-01 00:02:14;50;70;-4.5241;52.313;45.13;52.313;53.206
2021-01-01 00:02:15;50;70;-4.7552;52.386;45.084;52.386;53.313
2021-01-01 00:02:16;50;70;-4.9114;52.418;45.114;52.418;53.386
2021-01-01 00:02:17;50;70;-4.9901;52.413;45.219;52.413;53.418
2021-01-01 00:02:18;50;70;-4.9901;52.369;45.402;52.369;53.413
2021-01-01 00:02:19;50;70;-4.9114;52.289;45.654;52.289;53.369
2021-01-01 00:02:20;50;70;-4.7552;52.171;45.977;52.171;53.289
2021-01-01 00:02:21;50;70;-4.5241;52.017;46.36;52.017;53.171
2021-01-01 00:02:22;50;70;-4.2216;51.832;46.803;51.832;53.017
